,knn,knn_pca,lr,lr_pca,rf,rf_pca
sample 59,2.7498440742492676,1.5085084438323975,0.031244516372680664,0.07866978645324707,4.644952297210693,4.662201642990112
sample 60,2.734891891479492,1.6014299392700195,0.015595436096191406,0.07857418060302734,4.627252578735352,4.675532102584839
sample 61,2.7643864154815674,1.431257963180542,0.015637636184692383,0.062499046325683594,4.343709230422974,4.6927878856658936
sample 62,2.907230854034424,1.4123258590698242,0.015640974044799805,0.06289339065551758,4.851235628128052,4.615323305130005
sample 63,2.780850887298584,1.6649246215820312,0.0156097412109375,0.10983848571777344,4.5763630867004395,4.739669561386108
sample 64,2.7491798400878906,1.5706524848937988,0.031270742416381836,0.0979318618774414,4.4537575244903564,4.597159147262573
sample 65,2.796746015548706,1.6347084045410156,0.03176164627075195,0.06319975852966309,4.584083080291748,4.3564605712890625
sample 66,2.717355251312256,1.4442296028137207,0.0,0.06280755996704102,4.535273551940918,4.567273378372192
sample 67,2.859386920928955,1.6504814624786377,0.015737056732177734,0.06240081787109375,4.523008108139038,4.440317869186401
sample 68,2.795900344848633,1.5246167182922363,0.031244277954101562,0.10991311073303223,4.580100774765015,4.9268622398376465
sample 69,2.7186577320098877,1.2882225513458252,0.015619516372680664,0.06290221214294434,4.581377744674683,4.67560887336731
sample 70,2.832458019256592,1.2021238803863525,0.001817464828491211,0.07866048812866211,4.549641847610474,4.724990367889404
sample 71,2.868277072906494,1.7243213653564453,0.015628814697265625,0.09435391426086426,4.630209922790527,4.662115097045898
sample 72,2.717374801635742,1.413463830947876,0.031239986419677734,0.09456944465637207,4.565749168395996,4.626787424087524
sample 73,2.7871921062469482,1.4840030670166016,0.03772854804992676,0.08822321891784668,4.566688299179077,4.552259922027588
sample 74,2.7639901638031006,1.6802496910095215,0.015625953674316406,0.06289291381835938,4.546627044677734,4.56388783454895
sample 75,2.939507484436035,1.6380295753479004,0.011012077331542969,0.1255042552947998,4.597187280654907,4.820004224777222
sample 76,2.770458459854126,1.6445224285125732,0.015619039535522461,0.07863044738769531,4.499072790145874,4.739037990570068
sample 77,2.765489339828491,1.4765610694885254,0.015608549118041992,0.10029840469360352,4.609878778457642,4.6150736808776855
sample 78,2.72145414352417,1.6022932529449463,0.015625476837158203,0.062383413314819336,4.624825954437256,4.673898220062256
sample 79,2.6553397178649902,1.4767727851867676,0.014095067977905273,0.0627286434173584,4.596365690231323,4.7091920375823975
sample 80,2.846122980117798,1.6353964805603027,0.027467727661132812,0.10980820655822754,4.580472230911255,4.7227795124053955
sample 81,2.795109748840332,1.6164968013763428,0.01562190055847168,0.06288957595825195,4.457706928253174,4.712993860244751
sample 82,2.7067792415618896,1.2071983814239502,0.006745338439941406,0.0680997371673584,4.062190532684326,4.6147496700286865
sample 83,2.733976125717163,1.4130148887634277,0.015650272369384766,0.06287431716918945,4.456169366836548,4.674878358840942
sample 84,2.8582005500793457,1.6326744556427002,0.031248807907104492,0.0982818603515625,4.595466136932373,4.612390518188477
sample 85,2.8117449283599854,1.444441318511963,0.015726804733276367,0.06241321563720703,4.618587970733643,4.661562919616699
sample 86,2.7962050437927246,1.602571964263916,0.015625,0.11006402969360352,4.599246978759766,4.676616191864014
sample 87,2.812908172607422,1.4617412090301514,0.01603221893310547,0.09376215934753418,4.594679117202759,4.389455080032349
sample 88,2.7802047729492188,1.4927659034729004,0.01559901237487793,0.10981321334838867,4.672998666763306,4.662246465682983
sample 89,2.8268253803253174,1.6027305126190186,0.03168153762817383,0.1252894401550293,4.771984577178955,4.533281326293945
sample 90,2.844133138656616,1.4150218963623047,0.020653486251831055,0.07363128662109375,4.645969867706299,4.676235914230347
sample 91,2.780630111694336,1.5823092460632324,0.0060269832611083984,0.07864904403686523,4.495579242706299,4.651094675064087
sample 92,2.765756130218506,1.31380295753479,0.015642404556274414,0.0624997615814209,4.61022686958313,4.6115522384643555
sample 93,2.876235246658325,1.8060104846954346,0.0,0.11014270782470703,4.5666210651397705,4.6806910037994385
sample 94,2.7952003479003906,1.5715785026550293,0.04323172569274902,0.11453509330749512,4.318037271499634,4.522370338439941
sample 95,2.7791550159454346,1.476719617843628,0.016016483306884766,0.07443118095397949,4.601410627365112,4.833439826965332
sample 96,2.8132715225219727,1.603994369506836,0.012527227401733398,0.0625150203704834,4.518001079559326,4.452277660369873
sample 97,2.625368356704712,1.366661787033081,0.01563739776611328,0.07401299476623535,4.601452350616455,4.140303373336792
sample 98,2.764960527420044,1.298680305480957,0.006514072418212891,0.06306099891662598,4.207789659500122,4.597936153411865
sample 99,2.7633721828460693,1.4285690784454346,0.015604257583618164,0.078521728515625,4.72393274307251,4.581455230712891
sample 100,2.7672886848449707,1.4929695129394531,0.01565861701965332,0.06290102005004883,4.564782619476318,4.6266186237335205
